playerid,name,position,position_id,team,team_id,value,GW_1,GW_2,GW_3,GW_4,GW_5,GW_6,GW_7,GW_8,GW_9,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_22,GW_23,GW_24,GW_25,GW_26,GW_27,GW_28,GW_29,GW_30,GW_31,GW_32,GW_33,GW_34,GW_35,GW_36,GW_37,GW_38
1,Aaron Connolly,FWD,1,Brighton,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Aaron Cresswell,DEF,2,West Ham,2,4.2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1
3,Aaron Hickey,DEF,2,Brentford,3,4.4,0,5,2,1,1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Aaron Ramsdale,GK,3,Arsenal,4,4.7,2,6,1,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
5,Aaron Ramsey,MID,4,Burnley,5,5.0,0,0,1,0,0,2,3,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Aaron Wan-Bissaka,DEF,2,Man Utd,6,4.4,12,1,0,1,1,0,0,0,0,0,8,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4,1,1,2,0,3,6
7,Abdoulaye Doucouré,MID,4,Everton,7,5.5,2,2,2,8,2,7,4,8,2,3,1,11,1,3,9,10,1,0,0,0,3,0,0,0,2,3,2,1,0,2,1,3,2,8,3,1,8,1
8,Abdul Rahman Baba,DEF,2,Chelsea,8,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Adam Davies,GK,3,Sheffield Utd,9,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Adam Lallana,MID,4,Brighton,1,4.9,0,1,1,0,3,0,0,0,0,1,1,1,1,4,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,3,0,1,1,0,0,0,1
11,Adam Smith,DEF,2,Bournemouth,10,4.4,0,0,0,0,0,0,1,1,0,1,0,1,5,1,6,6,0,4,6,1,0,2,2,0,1,2,5,0,0,5,9,1,1,6,7,0,6,0
12,Adam Webster,DEF,2,Brighton,1,4.3,0,1,1,0,0,2,-1,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8,3,1
13,Adam Wharton,MID,4,Crystal Palace,11,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,3,3,0,2,2,5,3,4,8,3,5,3
14,Adama Traoré,MID,4,Fulham,12,4.9,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,1,0,4,1,1,1,1,0,1,1,10
15,Ademola Ola-Adebomi,FWD,1,Crystal Palace,11,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Admiral Muskwe,FWD,1,Luton,13,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Adrián San Miguel del Castillo,GK,3,Liverpool,14,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
